Comment,Designator,Footprint,LCSC
500k,R16,R_0402_1005Metric,C11616
Antenna_Chip,AE1,Johanson_2450AT18x100,C127629
BQ24073RGT,U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,C15220
100n,"C1,C17,C18,C19,C2,C23,C27,C30,C33,C4",C_0402_1005Metric,C1525
12p,"C5,C6,C7,C8",C_0402_1005Metric,C1547
3.3p,"C34,C35",C_0402_1005Metric,C1565
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10u,"C11,C12,C13,C14,C15,C16,C24,C32,C9",C_0603_1608Metric,C1691
LED_RED,D4,LED_0603_1608Metric,C2286
LED_WHITE,"D1,D3",LED_0603_1608Metric,C2290
100k,"R3,R35,R5",R_0402_1005Metric,C25741
10k,"R10,R11,R12,R15,R17,R18,R19,R2,R24,R31,R32,R33,R34,R6,R7,R8,R9",R_0402_1005Metric,C25744
5.1k,"R36,R37",R_0402_1005Metric,C25905
MAX98357AEWL+T,U8,WLP-9_L1.4-W1.3-P0.40-R3-C3-BR,C2682619
ESP32-S3,U13,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,C2913196
TF-123-ARP9H17,U1,TF-SMD_TF-123-ARP9H15,C2982548
24nH,L3,L_0402_1005Metric,C330863
2k,"R1,R13,R14,R4",R_0402_1005Metric,C4109
XO-40M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C431168
1u,"C20,C21,C26,C29,C3",C_0402_1005Metric,C52923
XO-32K,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C5366532
EVQPUC02K,"SW2,SW3",SW-SMD_EVQPUD02K,C79174
MT9700,"U7,U9",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C89855
SPX3819M5-L-3-3,U3,SOT-23-5,C9055
2nH/500mA,"L1,L2",L_0402_1005Metric,C97984
