Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Chip,Johanson_2450AT18x100,96.75,-40.9,0.0,bottom
C1,100n,C_0402_1005Metric,103.675,-44.125,0.0,bottom
C2,100n,C_0402_1005Metric,104.4,-50.0,270.0,bottom
C3,1u,C_0402_1005Metric,102.98,-49.6,0.0,bottom
C4,100n,C_0402_1005Metric,110.7,-41.7,180.0,bottom
C5,12p,C_0402_1005Metric,114.3,-46.9,270.0,bottom
C6,12p,C_0402_1005Metric,117.7,-49.6,90.0,bottom
C7,12p,C_0402_1005Metric,101.3,-45.075,0.0,bottom
C8,12p,C_0402_1005Metric,100.95,-49.6,0.0,bottom
C9,10u,C_0603_1608Metric,97.1,-51.1,270.0,bottom
C11,10u,C_0603_1608Metric,97.1,-54.1,270.0,bottom
C12,10u,C_0603_1608Metric,97.1,-57.4,90.0,bottom
C13,10u,C_0603_1608Metric,102.9,-51.75,90.0,bottom
C14,10u,C_0603_1608Metric,118.6,-58.6,0.0,bottom
C15,10u,C_0603_1608Metric,116.0,-56.7,90.0,bottom
C16,10u,C_0603_1608Metric,119.7,-49.5,0.0,bottom
C17,100n,C_0402_1005Metric,118.1,-46.1,0.0,bottom
C18,100n,C_0402_1005Metric,120.3,-48.1,180.0,bottom
C19,100n,C_0402_1005Metric,118.1,-59.8,0.0,bottom
C20,1u,C_0402_1005Metric,103.675,-43.15,0.0,bottom
C21,1u,C_0402_1005Metric,116.895,-43.7,180.0,bottom
C23,100n,C_0402_1005Metric,106.9,-41.7,0.0,bottom
C24,10u,C_0603_1608Metric,113.9,-43.7,90.0,bottom
C26,1u,C_0402_1005Metric,112.1,-41.8,90.0,bottom
C27,100n,C_0402_1005Metric,109.75,-51.7,0.0,bottom
C29,1u,C_0402_1005Metric,114.1,-50.75,180.0,bottom
C30,100n,C_0402_1005Metric,114.2,-49.3,90.0,bottom
C32,10u,C_0603_1608Metric,116.0,-51.7,270.0,bottom
C33,100n,C_0402_1005Metric,120.6,-44.7,90.0,bottom
C34,3.3p,C_0402_1005Metric,100.0,-42.0,270.0,bottom
C35,3.3p,C_0402_1005Metric,105.0,-41.7,180.0,bottom
D1,LED_WHITE,LED_0603_1608Metric,97.5,-45.3,0.0,bottom
D3,LED_WHITE,LED_0603_1608Metric,97.5,-47.95,0.0,bottom
D4,LED_RED,LED_0603_1608Metric,102.1,-58.4,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,89.96,-56.7,90.0,bottom
L1,2nH/500mA,L_0402_1005Metric,108.8,-41.7,0.0,bottom
L2,2nH/500mA,L_0402_1005Metric,102.2,-41.8,180.0,bottom
L3,24nH,L_0402_1005Metric,103.15,-45.075,180.0,bottom
R1,2k,R_0402_1005Metric,116.1,-59.7,180.0,bottom
R2,10k,R_0402_1005Metric,104.1,-52.9,270.0,bottom
R3,100k,R_0402_1005Metric,120.3,-47.1,180.0,bottom
R4,2k,R_0402_1005Metric,116.1,-58.7,180.0,bottom
R5,100k,R_0402_1005Metric,118.1,-47.1,180.0,bottom
R6,10k,R_0402_1005Metric,106.0,-51.85,0.0,bottom
R7,10k,R_0402_1005Metric,115.475,-44.175,270.0,bottom
R8,10k,R_0402_1005Metric,99.45,-48.1,90.0,bottom
R9,10k,R_0402_1005Metric,102.3,-56.4,180.0,bottom
R10,10k,R_0402_1005Metric,120.5,-54.0,0.0,bottom
R11,10k,R_0402_1005Metric,116.1,-53.7,180.0,bottom
R12,10k,R_0402_1005Metric,96.9,-59.4,180.0,bottom
R13,2k,R_0402_1005Metric,99.45,-46.2,270.0,bottom
R14,2k,R_0402_1005Metric,99.0,-49.6,180.0,bottom
R15,10k,R_0402_1005Metric,101.7,-44.1,0.0,bottom
R16,500k,R_0402_1005Metric,120.3,-46.1,180.0,bottom
